"id","name","description","manufacturer","price"
"http://www.google.com/base/feeds/snippets/10541632718220382972","jumpstart kindergarten (jc)","players team up with frankie and the jumpstart pals as they get ready for the wackiest bumpiest twirliest car race.","","9.9"
"http://www.google.com/base/feeds/snippets/18395554978346558556","microsoft w87-02380 office sbe 2007 win32","office sbe 2007 win32","","400.34"
"http://www.google.com/base/feeds/snippets/1872945109493928217","apple final cut studio 2 production suite for mac av production software","final cut studio 2 production software suite for mac - final cut pro 6 motion 3 soundtrack pro 2 color compressor 3 dvd studio pro 4 special offer the final cut studio 2 production software suite for mac from apple is the premiere professional suite ...","","1298.95"
"http://www.google.com/base/feeds/snippets/18353566070605982375","acid music studio 6","make your music more professional and more powerful!","","59.95"
"http://www.google.com/base/feeds/snippets/18195210518723634061","encore inc adventure workshop preschool-1st grade 8th edition","introduce your child to an exciting on-screen learning environment brimming with award-winning adventures that will build essential skills while having fun. introduce your child to an exciting on-screen learning environment brimming with award-winni","","17.1"
"http://www.google.com/base/feeds/snippets/3285016045940957596","adobe illustrator cs3 upgrade from freehand for mac","system requirements powerpc g4 or g5 or intel core processor mac os x v10.4.8 512mb ram (1gb recommended) 2.5gb free hard-disk space (additional space required during installation) 1024 x 768 display resolution with 16-bit video card dvd-rom drive ...","","206.99"
"http://www.google.com/base/feeds/snippets/4436087621332035022","me too software i transfer dvds 2 ipod","","","29.99"
"http://www.google.com/base/feeds/snippets/16698946140878275557","school zone interactive time money & fractions 1-2 on track software","time money & fractions incorporates critical math skills with interactive learning. engaging activities arcade games and animated rewards make this electronic workbook a great way to learn! system requirements: windows®: microsoft&re","","9.45"
"http://www.google.com/base/feeds/snippets/10497976503252074561","kaspersky anti-virus 6.0 (pc)","key features: complete protection easy to install instant updates...","","59.99"
"http://www.google.com/base/feeds/snippets/10851688356333529622","jungle software gorilla standard 4.0 film production","power pc© g3 or intel processor 256mb ram 512mb recommended 400mb available hard disk space macintosh os x 10.2 and above monitor capable of 1024x768 screen resolution","","269.99"
