"id1","id2"
"b00001xdw7","http://www.google.com/base/feeds/snippets/10541632718220382972"
"b000hcxkks","http://www.google.com/base/feeds/snippets/18395554978346558556"
"b000pgvk5s","http://www.google.com/base/feeds/snippets/1872945109493928217"
"b000aoz7fo","http://www.google.com/base/feeds/snippets/18353566070605982375"
"b000o39u3q","http://www.google.com/base/feeds/snippets/18195210518723634061"
"b000ndibaa","http://www.google.com/base/feeds/snippets/3285016045940957596"
"b000g6gn2m","http://www.google.com/base/feeds/snippets/4436087621332035022"
"b000099107","http://www.google.com/base/feeds/snippets/16698946140878275557"
"b000frttvy","http://www.google.com/base/feeds/snippets/10497976503252074561"
"b000mgvnks","http://www.google.com/base/feeds/snippets/10851688356333529622"
"b000oziaz8","http://www.google.com/base/feeds/snippets/15207825953028155236"
"b000ogsh3c","http://www.google.com/base/feeds/snippets/2640184679506710701"
"b00006jo4g","http://www.google.com/base/feeds/snippets/16080101328048625984"
"b000787g6q","http://www.google.com/base/feeds/snippets/14035761522429892531"
"b000k7vio0","http://www.google.com/base/feeds/snippets/9592753698712041843"
"b000jf5zec","http://www.google.com/base/feeds/snippets/13629768701500088491"
"b00023azve","http://www.google.com/base/feeds/snippets/4949402291543451335"
"b000h0k3zu","http://www.google.com/base/feeds/snippets/12105115514315351902"
"b00065hjvc","http://www.google.com/base/feeds/snippets/17535862274044952617"
"b000ro5o7s","http://www.google.com/base/feeds/snippets/7129140322149464777"
"b00002s6sc","http://www.google.com/base/feeds/snippets/6908558013988135436"
"b000hvtk9e","http://www.google.com/base/feeds/snippets/18400163697429940544"
"b00007e8bi","http://www.google.com/base/feeds/snippets/18286585073343765950"
"b000bwzzlg","http://www.google.com/base/feeds/snippets/2793425352847818039"
"b000ozhfsq","http://www.google.com/base/feeds/snippets/18438075297130458214"
"b000exu99k","http://www.google.com/base/feeds/snippets/17647670175814866187"
"b000exq2cs","http://www.google.com/base/feeds/snippets/9463842250533836611"
"b00024yohy","http://www.google.com/base/feeds/snippets/9205821354688722990"
"b000eu10wi","http://www.google.com/base/feeds/snippets/7587316869277129977"
"b000iflerk","http://www.google.com/base/feeds/snippets/17776155287333548087"
"b0008ewsai","http://www.google.com/base/feeds/snippets/10066664236286478958"
"b00005op44","http://www.google.com/base/feeds/snippets/18381906790026125106"
"b000etjjae","http://www.google.com/base/feeds/snippets/12845228373531717554"
"b000ndibq4","http://www.google.com/base/feeds/snippets/7928058720709111960"
"b000bndghk","http://www.google.com/base/feeds/snippets/18427441766979913551"
"b000hcz8gm","http://www.google.com/base/feeds/snippets/13673799320876526338"
"b000gkpds8","http://www.google.com/base/feeds/snippets/5515688203820371988"
"b000o3d94m","http://www.google.com/base/feeds/snippets/17453432506391757198"
"b000ub66ha","http://www.google.com/base/feeds/snippets/15897742829993345210"
"b000gknmd6","http://www.google.com/base/feeds/snippets/1088964682231544841"
"b00006jo4g","http://www.google.com/base/feeds/snippets/10206096308013781162"
"b000euhk3g","http://www.google.com/base/feeds/snippets/14356986779854403622"
"b000k7ving","http://www.google.com/base/feeds/snippets/13468530879861986847"
