"idAbt","idBuy"
38477,10011646
38475,10140760
33053,10221960
27248,10246269
25262,10315184
36260,10316920
35810,10326220
32034,10333368
38473,10333846
23686,10333848
38474,10343605
33377,10346525
27479,10351869
37606,10353206
27975,10360978
36207,10363070
17372,10363243
39179,10365096
21047,10373002
36258,10376165
20448,10377226
13202,10379358
39176,10380060
32579,10388980
22558,10412590
21175,10412788
26461,200924629
23296,201647442
20454,201692648
20450,201692660
33047,201692665
20453,201692677
20461,201692679
20466,201692695
26617,201692705
35467,201699873
21875,201700823
35111,201701865
38231,201744288
38831,201854347
32625,201935116
32625,201935171
22100,201953026
29758,201953029
22101,201953039
16741,201959840
38944,201965217
32546,202003159
38106,202026554
17191,202041195
17187,202041204
18970,202045862
18516,202045875
30957,202046565
25318,202049393
18960,202067544
29273,202070807
38455,202104453
28963,202106724
26563,202125720
22798,202143942
22042,202145734
22042,202238311
27783,202293522
16877,202434158
36023,202451162
23006,202456880
23325,202456903
25902,202479411
26695,202479417
25905,202479418
25036,202502745
26350,202537952
24571,202537967
24572,202537969
27771,202592070
35925,202592699
22727,202619749
23837,202635467
23097,202635701
19628,202778257
35054,202784218
23651,202784323
37360,202784323
36029,202785722
6284,202812567
19631,202812646
30389,202813304
32431,202827677
25829,202827684
25550,202827713
25749,202827715
6742,202845629
36033,202861078
25950,202870170
32874,202870171
31397,202870172
32875,202870173
26891,202870174
25857,202870177
25858,202870184
14563,202870448
29820,202882380
36305,202899626
24368,202899996
23635,202900002
24825,202900025
16112,202900041
7783,202900227
28180,202916534
32017,202916547
25814,202973396
38619,202985806
37496,202985950
32384,202989028
6493,203017999
14715,203021705
20534,203022202
16309,203022472
5644,203023505
10640,203024425
9071,203024998
13996,203025174
14061,203025423
19604,203025446
13213,203025617
23537,203069939
21268,203086405
31273,203086857
28397,203087319
25136,203087638
24693,203087681
21267,203087865
19672,203088013
9646,203111113
16394,203111424
6726,203111433
28149,203131412
28148,203131413
28650,203131635
27964,203136103
28433,203142438
18087,203150909
9355,203151776
18040,203151779
17094,203151930
33021,203154818
18837,203155653
14070,203162678
34125,203165921
34127,203165922
34126,203166120
34791,203185276
22242,203198950
34595,203199121
25364,203201060
26622,203201062
25291,203308084
23965,203322272
24937,203324914
32906,203324965
32493,203324970
26615,203329569
38735,203329570
24386,203340101
24615,203340555
38221,203343197
38323,203379234
27719,203379237
27729,203379250
34747,203388440
26861,203388612
19204,203389382
25788,203396327
26445,203407043
26930,203445879
22940,203472622
36969,203474227
24648,203491687
33045,203514304
33044,203514305
31881,203514371
26059,203870569
31337,203884610
29339,203888987
24402,203897877
29272,203900792
25990,203915639
26930,203920144
26525,203921172
27501,203928709
27407,203930685
32984,203934122
32405,203938179
31992,203952966
35877,204020411
27857,204035273
35990,204049431
31284,204049534
27137,204049780
32876,204053338
33532,204071217
38726,204080936
38767,204154429
30585,204206934
28350,204206935
29231,204206936
32878,204219387
32323,204222207
30206,204222662
38784,204222897
31414,204222915
33026,204230770
35905,204238996
28137,204254634
28366,204254738
27589,204264643
26137,204272122
17906,204274644
21989,204274645
26082,204274660
27789,204292470
27188,204292472
27793,204292473
27186,204292477
29392,204295637
32877,204297424
27194,204318283
28175,204318286
27197,204318288
