"id1","id2"
"conf/vldb/BaulierBKS98","671167"
"journals/sigmod/CabreraLM01","604269"
"conf/vldb/YanA94","672964"
"conf/sigmod/ChengKP03","872823"
"conf/vldb/MohanBWSZ00","671858"
"journals/sigmod/Palpanas00","362142"
"conf/sigmod/Chakrabarti99","304231"
"conf/sigmod/ReveszCKLLW00","336590"
"conf/vldb/MendelzonV00","672006"
"conf/sigmod/DasGR03","872765"
"conf/sigmod/SchleimerWA03","872770"
"journals/sigmod/PissinouSEMOPSTD94","181557"
"journals/tods/AndriesCPB01","383735"
"journals/sigmod/Kemper02","507354"
"conf/vldb/ChienTZ01","672373"
"conf/sigmod/AdiBEY01","375759"
"journals/vldb/RafieiM02","767094"
"conf/vldb/JohnsonM98","671327"
"journals/sigmod/EisenbergM98a","306144"
"conf/vldb/AgrawalS94","672836"
"journals/sigmod/Loeffen94","181565"
"conf/vldb/Sarawagi95","673159"
"conf/vldb/BertinoBFS96","673475"
"conf/sigmod/Edelstein95","223868"
"journals/sigmod/OrlandicLS02","565120"
"journals/tods/PetersO97","244813"
"journals/sigmod/SommerGB02","507343"
"journals/vldb/FiebigHKMNSW02","764202"
"journals/vldb/CombiP01","765505"
"conf/sigmod/RoySSB00","335419"
"conf/sigmod/GraySSU03","872873"
"conf/vldb/AshwinRSSS97","673645"
"conf/vldb/StaudtJ96","673479"
"journals/sigmod/Roussopoulos98","273253"
"conf/vldb/Korth95","758365"
"journals/vldb/Cobb97","765555"
"conf/vldb/HanF95","673134"
"journals/sigmod/Stacey95","219774"
"conf/vldb/Bowker00","671871"
"journals/sigmod/AtzeniMM97","271080"
"conf/sigmod/ChaudhuriD97","253373"
"journals/vldb/FungKL03","950490"
"journals/vldb/PeckhamMD95","615219"
"conf/sigmod/FaginKS03","872795"
"conf/sigmod/PolyzotisG02","564733"
"journals/sigmod/Ahlberg96","245893"
"conf/vldb/LeeL96","673331"
"conf/sigmod/LazaridisM01","375718"
"journals/vldb/Bertino94","615202"
"journals/sigmod/GriffinK98","290597"
"journals/vldb/YangW03","950494"
"conf/vldb/Kleewein96","673472"
"conf/vldb/Fecteau95","673140"
"conf/sigmod/Moore95","223859"
"journals/sigmod/Danish98","306103"
"journals/vldb/GrefenVA01","767153"
"conf/vldb/Celis96","673471"
"conf/vldb/MogiK95","673307"
"journals/vldb/SteinbrunnMK97","765556"
"journals/sigmod/LeeCL95","212011"
"conf/vldb/DattaDTVRF01","672364"
"journals/tods/DekhtyarRS01","383736"
"journals/tods/BrunoCG02","568519"
"conf/sigmod/PhanN02","564783"
"journals/sigmod/MukhopadhyayGS03","776989"
"conf/sigmod/PaparizosACJLNPSWWY03","872862"
"journals/sigmod/BunemanLSTW94","181564"
"conf/sigmod/SengarH03","872867"
"journals/sigmod/Rosenthal98","273270"
"journals/sigmod/GerlhofKM96","234893"
"conf/vldb/LiC94","672826"
"journals/sigmod/GroskyFS94","190644"
"conf/sigmod/Cohen98","276323"
"journals/vldb/WidomS00","764213"
"conf/vldb/BlottKS98","671333"
"conf/vldb/RusinkiewiczKTWM95","673142"
"conf/sigmod/Kleissner95","223875"
"conf/sigmod/HanFHCC94","191979"
"journals/sigmod/Kim02","507346"
"conf/sigmod/DanielsDDEHJJLSSS94","191930"
"conf/sigmod/AltinelLKMPLWB02","564765"
"journals/vldb/DanYC95","615216"
"conf/sigmod/ZhaoDNS98","276329"
"conf/vldb/GantiLR00","672017"
"journals/sigmod/Kim94","181552"
"journals/vldb/LandauST95","615233"
"conf/vldb/OConnellWG01","672185"
"conf/sigmod/MassariPSC95","223890"
"conf/vldb/McHughW99","671349"
