"id","title","authors","venue","year"
"671167","A Database System for Real-Time Event Aggregation in Telecommunication","Jerry Baulier, Stephen Blott, Henry F. Korth, Abraham Silberschatz","Very Large Data Bases","1998"
"604269","Detection and classification of intrusions and faults using sequences of system calls","Jo&#227;o B. D. Cabrera, Lundy Lewis, Raman K. Mehra","ACM SIGMOD Record ","2001"
"672964","Integrating a Structured-Text Retrieval System with an Object-Oriented Database System","Tak W. Yan, Jurgen Annevelink","Very Large Data Bases","1994"
"872823","Evaluating probabilistic queries over imprecise data","Reynold Cheng, Dmitri V. Kalashnikov, Sunil Prabhakar","International Conference on Management of Data","2003"
"671858","Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes","C. Mohan, Ron Barber, S. Watts, A. Somani, Markos Zaharioudakis","Very Large Data Bases","2000"
"362142","Knowledge discovery in data warehouses","Themistoklis Palpanas","ACM SIGMOD Record ","2000"
"304231","Hypertext databases and data mining","Soumen Chakrabarti","International Conference on Management of Data","1999"
"336590","The MLPQ/GIS constraint database system","Peter Revesz, Rui Chen, Pradip Kanjamala, Yiming Li, Yuguo Liu, Yonghui Wang","International Conference on Management of Data","2000"
"672006","Temporal Queries in OLAP","Alberto O. Mendelzon, Alejandro A. Vaisman","Very Large Data Bases","2000"
"872765","Approximate join processing over data streams","Abhinandan Das, Johannes Gehrke, Mirek Riedewald","International Conference on Management of Data","2003"
"872770","Winnowing: local algorithms for document fingerprinting","Saul Schleimer, Daniel S. Wilkerson, Alex Aiken","International Conference on Management of Data","2003"
"181557","Towards an infrastructure for temporal databases: report of an invitational ARPA/NSF workshop","Niki Pissinou, Richard Thomas Snodgrass, Ramez Elmasri, Inderpal S. Mumick, Tamer &#214;zsu, Barbara Pernici, Arie Segev, Babis Theodoulidis, Umeshwar Dayal","ACM SIGMOD Record ","1994"
"383735","Applying an update method to a set of receivers","Marc Andries, Luca Cabibbo, Jan Paredaens, Jan van den Bussche","ACM Transactions on Database Systems (TODS) ","2001"
"507354","Databases and transaction processing: an application-oriented approach","Philip M. Lewis, Arthur Bernstein, Michael Kifer","ACM SIGMOD Record ","2002"
"672373","Efficient Management of Multiversion Documents by Object Referencing","Shu-Yao Chien, Vassilis J. Tsotras, Carlo Zaniolo","Very Large Data Bases","2001"
"375759","Monitoring business processes through event correlation based on dependency model","Asaf Adii, David Botzer, Opher Etzion, Tali Yatzkar-Haham","International Conference on Management of Data","2001"
"767094","Efficient retrieval of similar shapes","Davood Rafiei, Alberto O. Mendelzon","The VLDB Journal &mdash; The International Journal on Very Large Data Bases ","2002"
"671327","Performance Measurements of Tertiary Storage Devices","Theodore Johnson, Ethan L. Miller","Very Large Data Bases","1998"
"306144","SQLJ Part 0, now known as SQL/OLB (Object-Language Bindings)","Andrew Eisenberg, Jim Melton","ACM SIGMOD Record ","1998"
"672836","Fast Algorithms for Mining Association Rules in Large Databases","Rakesh Agrawal, Ramakrishnan Srikant","Very Large Data Bases","1994"
"181565","Text databases: a survey of text models and systems","Arjan Loeffen","ACM SIGMOD Record ","1994"
"673159","Query Processing in Tertiary Memory Databases","Sunita Sarawagi","Very Large Data Bases","1995"
"673475","Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control","Elisa Bertino, Claudio Bettini, Elena Ferrari, Pierangela Samarati","Very Large Data Bases","1996"
"223868","Research and products-are they relevant to each other? (panel session)","Herb Edelstein","International Conference on Management of Data","1995"
