"ID1","ID2"
"http://www.okkam.org/oaie/person1-Person2190","http://www.okkam.org/oaie/person2-Person2191"
"http://www.okkam.org/oaie/person1-Person3320","http://www.okkam.org/oaie/person2-Person3321"
"http://www.okkam.org/oaie/person1-Person4970","http://www.okkam.org/oaie/person2-Person4971"
"http://www.okkam.org/oaie/person1-Person3440","http://www.okkam.org/oaie/person2-Person3441"
"http://www.okkam.org/oaie/person1-Person3960","http://www.okkam.org/oaie/person2-Person3961"
"http://www.okkam.org/oaie/person1-Person3820","http://www.okkam.org/oaie/person2-Person3821"
"http://www.okkam.org/oaie/person1-Person4820","http://www.okkam.org/oaie/person2-Person4821"
"http://www.okkam.org/oaie/person1-Person3220","http://www.okkam.org/oaie/person2-Person3221"
"http://www.okkam.org/oaie/person1-Person3580","http://www.okkam.org/oaie/person2-Person3581"
"http://www.okkam.org/oaie/person1-Person2950","http://www.okkam.org/oaie/person2-Person2951"
"http://www.okkam.org/oaie/person1-Person3020","http://www.okkam.org/oaie/person2-Person3021"
"http://www.okkam.org/oaie/person1-Person2810","http://www.okkam.org/oaie/person2-Person2811"
"http://www.okkam.org/oaie/person1-Person3120","http://www.okkam.org/oaie/person2-Person3121"
"http://www.okkam.org/oaie/person1-Person3970","http://www.okkam.org/oaie/person2-Person3971"
"http://www.okkam.org/oaie/person1-Person3310","http://www.okkam.org/oaie/person2-Person3311"
"http://www.okkam.org/oaie/person1-Person2180","http://www.okkam.org/oaie/person2-Person2181"
"http://www.okkam.org/oaie/person1-Person3430","http://www.okkam.org/oaie/person2-Person3431"
"http://www.okkam.org/oaie/person1-Person4960","http://www.okkam.org/oaie/person2-Person4961"
"http://www.okkam.org/oaie/person1-Person3830","http://www.okkam.org/oaie/person2-Person3831"
"http://www.okkam.org/oaie/person1-Person3570","http://www.okkam.org/oaie/person2-Person3571"
"http://www.okkam.org/oaie/person1-Person3210","http://www.okkam.org/oaie/person2-Person3211"
"http://www.okkam.org/oaie/person1-Person4810","http://www.okkam.org/oaie/person2-Person4811"
"http://www.okkam.org/oaie/person1-Person2960","http://www.okkam.org/oaie/person2-Person2961"
"http://www.okkam.org/oaie/person1-Person3010","http://www.okkam.org/oaie/person2-Person3011"
